2023-11-14 00:16:28.353 | INFO     | scripts.train_CUB:train_val:49 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'imagenet', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 10, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [32, 64], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': 1000, 'n_class': 100, 'data_path': '../../data/imagenet/', 'data': {'train_set': {'list_path': './data/imagenet/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/imagenet/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/imagenet/database.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_100_32.npy', 'CSQ_center': './CSQcenters/CSQ_100_32.npy', 'remarks': 'Ours', 'save_path': './results/imagenet/Ours', 'save_center': './results/imagenet/Ours/ours_32.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 13000}
2023-11-14 00:16:28.354 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 1/1000 00:16:28 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:18:33.837 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.03171671176438823, center loss: 6.464732460677624, pair loss: 0
2023-11-14 00:18:33.837 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 2/1000 00:18:33 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:20:36.650 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.01915828993671811, center loss: 3.903320334851742, pair loss: 0
2023-11-14 00:20:36.651 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 3/1000 00:20:36 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:22:40.461 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.015685998629230785, center loss: 3.195375733077526, pair loss: 0
2023-11-14 00:31:52.028 | INFO     | scripts.train_CUB:train_val:98 - save in ./results/imagenet/Ours
2023-11-14 00:31:52.029 | INFO     | scripts.train_CUB:train_val:108 - [Ours] 3/1000 00:20:36 bits: 32 dataset: imagenet Best mAP: 0.83966822991476, current mAP: 0.83966822991476
2023-11-14 00:31:52.029 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 4/1000 00:31:52 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:33:55.005 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.013783954170660353, center loss: 2.8076527239754796, pair loss: 0
2023-11-14 00:33:55.006 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 5/1000 00:33:55 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:35:57.802 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.012670575202826191, center loss: 2.580756777897477, pair loss: 0
2023-11-14 00:35:57.803 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 6/1000 00:35:57 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:38:00.721 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.01183632596888963, center loss: 2.410758984275162, pair loss: 0
2023-11-14 00:47:10.055 | INFO     | scripts.train_CUB:train_val:98 - save in ./results/imagenet/Ours
2023-11-14 00:47:10.055 | INFO     | scripts.train_CUB:train_val:108 - [Ours] 6/1000 00:35:57 bits: 32 dataset: imagenet Best mAP: 0.87520084267538, current mAP: 0.87520084267538
2023-11-14 00:47:10.055 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 7/1000 00:47:10 bits: 32 dataset: imagenet loss way: Ours training...
2023-11-14 00:49:13.889 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.01120145495652276, center loss: 2.2813802678138018, pair loss: 0
2023-11-14 00:49:13.890 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 8/1000 00:49:13 bits: 32 dataset: imagenet loss way: Ours training...
